task,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,modelname,version
Ours/ResNet---v02,99.16/$\phantom{0}$3.83,96.89/$\phantom{0}$8.37,90.50/16.47,99.85/$\phantom{0}$1.78,96.60/$\phantom{0}$7.61,Ours/ResNet,v02
Ours/ResNet---v03,99.09/$\phantom{0}$3.82,96.12/$\phantom{0}$9.69,91.13/16.43,99.89/$\phantom{0}$1.40,96.56/$\phantom{0}$7.84,Ours/ResNet,v03
Ours/ResNet---v04,98.87/$\phantom{0}$5.20,97.51/$\phantom{0}$7.80,95.55/10.45,99.74/$\phantom{0}$2.39,97.92/$\phantom{0}$6.46,Ours/ResNet,v04
Ours/ResNet---v05,99.11/$\phantom{0}$4.24,96.83/$\phantom{0}$8.41,96.65/$\phantom{0}$8.41,99.79/$\phantom{0}$2.04,98.09/$\phantom{0}$5.77,Ours/ResNet,v05
Ours/ResNet---v06,99.34/$\phantom{0}$3.14,97.84/$\phantom{0}$6.70,97.28/$\phantom{0}$7.42,99.84/$\phantom{0}$1.48,98.58/$\phantom{0}$4.69,Ours/ResNet,v06
Ours/ResNet---v07,99.07/$\phantom{0}$4.09,97.70/$\phantom{0}$6.85,96.71/$\phantom{0}$7.76,99.82/$\phantom{0}$1.76,98.32/$\phantom{0}$5.12,Ours/ResNet,v07
Ours/ResNet---v08,99.11/$\phantom{0}$4.21,97.14/$\phantom{0}$8.03,94.96/11.01,99.85/$\phantom{0}$1.81,97.76/$\phantom{0}$6.26,Ours/ResNet,v08
Ours/ResNet---v09,99.48/$\phantom{0}$2.80,96.04/10.07,94.98/11.59,99.87/$\phantom{0}$1.33,97.59/$\phantom{0}$6.45,Ours/ResNet,v09
Ours/ResNet---v10,98.84/$\phantom{0}$4.66,97.52/$\phantom{0}$7.31,88.34/18.52,99.61/$\phantom{0}$3.10,96.08/$\phantom{0}$8.40,Ours/ResNet,v10
Ours/ResNet---v11,98.60/$\phantom{0}$4.62,96.51/$\phantom{0}$8.71,93.00/13.35,99.65/$\phantom{0}$2.50,96.94/$\phantom{0}$7.29,Ours/ResNet,v11
