task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
AASIST---v04,92.43/16.14,85.38/22.38,90.94/16.74,98.10/$\phantom{0}$6.98,91.29/17.92,88.64/19.50,91.19/17.30,nan,nan,nan,nan,nan,nan,nan,AASIST,v04
AASIST---v05,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v05
AASIST---v06,93.24/14.73,85.02/22.78,90.38/17.43,97.43/$\phantom{0}$7.86,91.15/17.99,90.20/17.97,90.91/17.47,nan,nan,nan,nan,nan,nan,nan,AASIST,v06
AASIST---v07,91.24/17.91,83.82/25.56,88.13/21.59,94.04/14.19,87.73/21.68,87.46/21.86,88.33/21.31,nan,nan,nan,nan,nan,nan,nan,AASIST,v07
AASIST---v08,90.54/19.30,83.70/24.90,88.01/21.08,97.21/$\phantom{0}$8.59,90.05/19.30,84.95/24.29,89.30/20.14,nan,nan,nan,nan,nan,nan,nan,AASIST,v08
AASIST---v09,91.88/16.67,83.88/24.34,88.91/19.69,96.43/$\phantom{0}$9.77,89.59/19.83,88.20/20.38,89.57/19.27,nan,nan,nan,nan,nan,nan,nan,AASIST,v09
AASIST---v10,93.39/14.57,85.27/22.17,90.96/16.95,97.42/$\phantom{0}$7.94,91.07/17.88,90.38/17.47,91.11/17.22,nan,nan,nan,nan,nan,nan,nan,AASIST,v10
AASIST---v11,93.69/14.05,85.03/23.02,90.28/17.77,97.26/$\phantom{0}$7.72,90.59/19.09,90.74/17.15,90.77/17.79,nan,nan,nan,nan,nan,nan,nan,AASIST,v11
AASIST---v12,93.23/15.15,84.21/24.05,89.08/19.97,97.07/$\phantom{0}$8.90,90.14/20.26,89.99/18.69,90.10/19.25,nan,nan,nan,nan,nan,nan,nan,AASIST,v12
AASIST---v13,93.18/14.82,84.92/22.60,89.36/18.42,97.33/$\phantom{0}$7.78,91.00/17.87,89.81/17.86,90.57/17.61,nan,nan,nan,nan,nan,nan,nan,AASIST,v13
AASIST---v14,92.59/15.11,83.28/23.41,89.72/17.67,97.00/$\phantom{0}$8.61,90.72/18.51,90.58/17.08,90.21/17.91,nan,nan,nan,nan,nan,nan,nan,AASIST,v14
AASIST---v15,92.86/15.64,84.26/23.91,89.05/19.59,96.80/$\phantom{0}$9.35,89.42/20.27,89.54/19.12,89.84/19.27,nan,nan,nan,nan,nan,nan,nan,AASIST,v15
AASIST---v16,93.63/14.09,85.23/22.14,90.08/17.43,97.49/$\phantom{0}$7.75,91.32/18.23,91.01/16.50,91.02/17.28,nan,nan,nan,nan,nan,nan,nan,AASIST,v16
AASIST---v17,93.04/15.26,84.68/22.87,90.49/17.40,97.92/$\phantom{0}$7.17,90.90/19.14,90.22/18.22,90.91/17.94,nan,nan,nan,nan,nan,nan,nan,AASIST,v17
AASIST---v18,92.40/16.38,84.41/24.19,88.26/21.03,96.90/$\phantom{0}$9.07,91.42/18.11,88.23/20.07,90.07/19.18,nan,nan,nan,nan,nan,nan,nan,AASIST,v18
AASIST---v19,93.40/14.09,85.70/21.31,90.88/16.46,97.18/$\phantom{0}$8.24,90.95/17.54,90.59/16.58,91.13/16.50,nan,nan,nan,nan,nan,nan,nan,AASIST,v19
AASIST---v20,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v20
AASIST---v21,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v21
AASIST---v22,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v22
AASIST---v23,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v23
AASIST---v24,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v24
AASIST---v25,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v25
